category,id,name,brand,price,unit,description,specifications
lighting,light_002,LED灯带 冷白,乐山家具,25,元/米,LED灯带照明效果好,功率14.4W/m色温6000K防护等级IP20
lighting,light_003,RGB彩色灯带,乐山家具,45,元/米,RGB灯带可调色彩,功率14.4W/m全彩RGB防护等级IP20
lighting,light_004,线性灯具,乐山家具,120,元/米,线性灯具照明均匀,功率20W/m色温4000K防护等级IP40
lighting,light_005,嵌入式灯带,乐山家具,80,元/米,嵌入式安装美观,功率12W/m色温3000K防护等级IP44
stone,stone_001,天然大理石,乐山家具,680,元/㎡,天然大理石纹理美观,厚度20mm材质天然大理石表面抛光
stone,stone_002,人造石英石,乐山家具,480,元/㎡,人造石英石硬度高,厚度15mm材质石英石表面抛光
stone,stone_003,岩板 陶瓷,乐山家具,580,元/㎡,陶瓷岩板耐磨耐热,厚度12mm材质陶瓷表面哑光
stone,stone_004,花岗岩,乐山家具,380,元/㎡,花岗岩坚固耐用,厚度20mm材质花岗岩表面抛光
stone,stone_005,进口岩板,乐山家具,880,元/㎡,进口岩板品质优良,厚度6mm材质进口岩板表面多种纹理
island,island_001,标准橱柜岛台,乐山家具,1200,元/延米,标准岛台功能齐全,高度850mm深度600mm含台面柜体
island,island_002,大理石台面岛台,乐山家具,1800,元/延米,大理石台面高档美观,高度850mm深度600mm台面天然大理石
island,island_003,不锈钢岛台,乐山家具,1500,元/延米,不锈钢岛台易清洁,高度850mm深度600mm台面304不锈钢
island,island_004,实木岛台,乐山家具,2200,元/延米,实木岛台天然环保,高度850mm深度600mm台面实木拼接
baseboard,base_001,标准踢脚线 PVC,乐山家具,35,元/米,PVC踢脚线经济实用,高度80mm厚度12mm材质PVC
baseboard,base_002,实木踢脚线,乐山家具,55,元/米,实木踢脚线天然环保,高度80mm厚度15mm材质实木
baseboard,base_003,铝合金踢脚线,乐山家具,45,元/米,铝合金踢脚线现代简约,高度80mm厚度10mm材质铝合金
baseboard,base_004,不锈钢踢脚线,乐山家具,65,元/米,不锈钢踢脚线耐用美观,高度80mm厚度8mm材质304不锈钢
hardware,hard_001,标准铰链 冷轧钢,乐山家具,25,元/个,标准铰链承重性能好,规格35mm材质冷轧钢表面电镀
hardware,hard_002,缓冲铰链 液压,乐山家具,35,元/个,液压缓冲铰链静音效果好,规格35mm材质冷轧钢液压缓冲
hardware,hard_003,进口铰链 海蒂诗,乐山家具,45,元/个,进口品牌铰链品质优良,规格35mm品牌海蒂诗表面镀镍
hardware,hard_004,标准拉手 合金,乐山家具,15,元/个,标准拉手经济实用,长度128mm材质锌合金表面电镀
hardware,hard_005,隐形拉手 铝合金,乐山家具,25,元/个,隐形拉手美观简约,长度100mm材质铝合金表面阳极氧化
hardware,hard_006,实木拉手 橡木,乐山家具,35,元/个,实木拉手天然环保,长度120mm材质橡木表面清漆
glass,glass_001,透明钢化玻璃 5mm,乐山家具,120,元/㎡,透明钢化玻璃安全可靠,厚度5mm材质钢化玻璃透光率90%
glass,glass_002,磨砂玻璃 6mm,乐山家具,150,元/㎡,磨砂玻璃隐私保护好,厚度6mm材质钢化玻璃表面磨砂处理
glass,glass_003,夹胶玻璃 8mm,乐山家具,200,元/㎡,夹胶玻璃安全性更高,厚度8mm材质夹胶钢化玻璃PVB中间膜
glass,glass_004,艺术玻璃 装饰,乐山家具,280,元/㎡,艺术玻璃装饰效果佳,厚度6mm材质钢化玻璃表面艺术处理
